year,region,round,t1Name,t1Rank,t1Score,t1Win,t2Name,t2Rank,t2Score,t2Win
2011,"West Regional – Anaheim, California",round1,Cincinnati,6,78,True,Missouri,11,63,False
2011,"West Regional – Anaheim, California",round2,Cincinnati,6,58,False,Connecticut,3,69,True
2011,"West Regional – Anaheim, California",round1,Connecticut,3,81,True,Bucknell,14,52,False
2011,"West Regional – Anaheim, California",round3,Connecticut,3,74,True,San Diego State,2,67,False
2011,"West Regional – Anaheim, California",round1,Temple,7,66,True,Penn State,10,64,False
2011,"West Regional – Anaheim, California",round2,Temple,7,64,False,San Diego State,2,71**,True
2011,"West Regional – Anaheim, California",round1,San Diego State,2,68,True,Northern Colorado,15,50,False
2011,"Southwest Regional – San Antonio, Texas",round1,Kansas,1,72,True,Boston University,16,53,False
2011,"Southwest Regional – San Antonio, Texas",round2,Kansas,1,73,True,Illinois,9,59,False
2011,"Southwest Regional – San Antonio, Texas",round1,UNLV,8,62,False,Illinois,9,73,True
2011,"Southwest Regional – San Antonio, Texas",round3,Kansas,1,77,True,Richmond,12,57,False
2011,"Southwest Regional – San Antonio, Texas",round1,Vanderbilt,5,66,False,Richmond,12,69,True
2011,"Southwest Regional – San Antonio, Texas",round2,Richmond,12,65,True,Morehead State,13,48,False
2011,"Southwest Regional – San Antonio, Texas",round1,Louisville,4,61,False,Morehead State,13,62,True
2011,"Southwest Regional – San Antonio, Texas",round4,Kansas,1,61,False,VCU,11,71,True
2011,"Southwest Regional – San Antonio, Texas",round1,Georgetown,6,56,False,VCU,11,74,True
2011,"Southwest Regional – San Antonio, Texas",round2,VCU,11,94,True,Purdue,3,76,False
2011,"Southwest Regional – San Antonio, Texas",round1,Purdue,3,65,True,Saint Peter's,14,43,False
2011,"Southwest Regional – San Antonio, Texas",round3,VCU,11,72*,True,Florida State,10,71,False
2011,"Southwest Regional – San Antonio, Texas",round1,Texas A&M,7,50,False,Florida State,10,57,True
2011,"Southwest Regional – San Antonio, Texas",round2,Florida State,10,71,True,Notre Dame,2,57,False
2011,"Southwest Regional – San Antonio, Texas",round1,Notre Dame,2,69,True,Akron,15,56,False
2011,"Southeast Regional – New Orleans, Louisiana",round1,Pittsburgh,1,74,True,UNC Asheville,16,51,False
2011,"Southeast Regional – New Orleans, Louisiana",round2,Pittsburgh,1,70,False,Butler,8,71,True
2011,"Southeast Regional – New Orleans, Louisiana",round1,Butler,8,60,True,Old Dominion,9,58,False
2011,"Southeast Regional – New Orleans, Louisiana",round3,Butler,8,61,True,Wisconsin,4,54,False
2011,"Southeast Regional – New Orleans, Louisiana",round1,Kansas State,5,73,True,Utah State,12,68,False
2011,"Southeast Regional – New Orleans, Louisiana",round2,Kansas State,5,65,False,Wisconsin,4,70,True
2011,"Southeast Regional – New Orleans, Louisiana",round1,Wisconsin,4,72,True,Belmont,13,58,False
2011,"Southeast Regional – New Orleans, Louisiana",round4,Butler,8,74*,True,Florida,2,71,False
2011,"Southeast Regional – New Orleans, Louisiana",round1,St. John's,6,71,False,Gonzaga,11,86,True
2011,"Southeast Regional – New Orleans, Louisiana",round2,Gonzaga,11,67,False,BYU,3,89,True
2011,"Southeast Regional – New Orleans, Louisiana",round1,BYU,3,74,True,Wofford,14,66,False
2011,"Southeast Regional – New Orleans, Louisiana",round3,BYU,3,74,False,Florida,2,83*,True
